"","X1","doc_id","Date","pr_nr","pr_date","short_text","docket_nb","date","year","pr_dummy","decision_type","second_senate_dummy","chamber_decision","unanimous","sep_op","oral","bvr","bvl","bvq","bvc","bve","bvf","bvb","bvg","bvk","bvh","bvm","bvn","pbvu","bvp","unsuc_dec","uncons","hyp_time_minus","prior_attention","count","lower_co_uncons","status_quo"
"1",1,"19960116_2bvl000495.txt",19960116,NA,NA,"Erfolgreiche Richtervorlage zur Frage der Verfassungsmaessigkeit von § 29 Abs. 2 Satz 1 i. V. m. § 18 Abs. 1 Nr. 1 GemO BW
","2 BvL 4/95",1996-01-16 01:00:00,1996,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996-01-06 01:00:00,0,3127,1,0
"2",2,"19960117_1bvr211694.txt",19960117,NA,NA,"Aussetzung der Vollstreckung eines wegen Nichtbefolgung der Verurteilung zur Entfernung einer Parabolantenne ergangenen Raeumungsurteils
","1 BvR 2116/94",1996-01-17 01:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-01-07 01:00:00,0,150,0,0
"3",3,"19960118_1bvr211694.txt",19960118,NA,NA,"Nichtannahme einer Verfassungsbeschwerde gegen rechtskraeftiges Raeumungsurteil - keine Hemmung der Rechtskraft einer fachgerichtlichen Endentscheidung durch Einlegung der Verfassungsbeschwerde
","1 BvR 2116/94",1996-01-18 01:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-01-08 01:00:00,1,1398,0,0
"4",4,"19960131_2bvl003993.txt",19960131,NA,NA,"Zur Vereinbarkeit der Regelung ueber die Gewaehrung eines erhoehten Auslandszuschlags an Soldaten in integrierten militaerischen Staeben mit Art. 3 Abs. 1 GG (§ 55 Abs. 5 Satz 6 BBesG)
","2 BvL 39/93",1996-01-31 01:00:00,1996,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-01-21 01:00:00,0,5962,0,0
"5",5,"19960312_1bvr060990.txt",19960312,NA,NA,"Verfassungsbeschwerden betreffend die rentenrechtliche Bewertung von Kindererziehungszeiten erfolgreich
","1 BvR 609/90",1996-03-12 01:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996-03-02 01:00:00,1,9233,0,1
"6",6,"19960418_1bvr066194.txt",19960418,"24/1998","9. Maerz 1998","Private Programmanbieter nach Bayerischem Medienrecht sind Traeger des Grundrechts der Rundfunkfreiheit hier: Erfolgreiche Verfassungsbeschwerde von ""extra radio"" gegen Entscheidung des Bayerischen VerfassungsgerichtshofsSiehe auchPressemitteilung Nr. 24/1998 vom 9. Maerz 1998
","1 BvR 661/94",1996-04-18 02:00:00,1996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-04-08 02:00:00,0,495,0,0
"7",7,"19960418_1bvr145290.txt",19960418,NA,NA,"Der Restitutionsausschluss fuer die in den Jahren 1945 bis 1949 in der sowjetischen Besatzungszone durchgefuehrten Enteignungen ist von Verfassungs wegen nicht zu beanstanden
","1 BvR 1452/90",1996-04-18 02:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-04-08 02:00:00,0,13422,0,0
"8",8,"19960424_1bvr071286.txt",19960424,NA,NA,"Das Gesetz ueber befristete Arbeitsvertraege mit wissenschaftlichem Personal an Hochschulen und Forschungseinrichtungen ist mit Art. 9 Abs. 3 GG vereinbar
","1 BvR 712/86",1996-04-24 02:00:00,1996,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-04-14 02:00:00,1,9686,0,0
"9",9,"19960514_2bvr150793.txt",19960514,NA,NA,"Erfolgreiche Verfassungsbeschwerden betreffend Regelungen ueber Asylgewaehrung und -verfahren bei Asylbewerbern aus sicheren Herkunftsstaaten sowie die gesetzliche Bestimmung Ghanas zu einem sicheren Herkunftsstaat
","2 BvR 1507/93",1996-05-14 02:00:00,1996,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-05-04 02:00:00,1,17755,0,0
"10",10,"19960514_2bvr151693.txt",19960514,NA,NA,"Erfolgreiche Verfassungsbeschwerde betreffend Regelungen ueber die Aussetzung des Vollzuges aufenthaltsbeendender Massnahmen bei offensichtlich unbegruendeten Asylantraegen
","2 BvR 1516/93",1996-05-14 02:00:00,1996,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-05-04 02:00:00,1,26643,0,0
