"","document_id","decision_year","decision_date","docket_number","decision_shorttext","pressrelease_publication","pressrelease_date","pressrelease_number","dissenting_opinion","oral_hearing","statusquo_change","lower_court_overruling","abstract_review","concrete_review","constitutional_complaint","dispute_federalorgans","dispute_federation_land","second_senate","judgment","decision_length","prior_attention"
"1","19960116_2bvl000495.txt",1996,"1996-01-16 01:00:00","2 BvL 4/95","Erfolgreiche Richtervorlage zur Frage der Verfassungsmaessigkeit von § 29 Abs. 2 Satz 1 i. V. m. § 18 Abs. 1 Nr. 1 GemO BW
",0,NA,NA,0,0,0,1,0,1,0,0,0,1,0,3127,0
"2","19960117_1bvr211694.txt",1996,"1996-01-17 01:00:00","1 BvR 2116/94","Aussetzung der Vollstreckung eines wegen Nichtbefolgung der Verurteilung zur Entfernung einer Parabolantenne ergangenen Raeumungsurteils
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,150,0
"3","19960118_1bvr211694.txt",1996,"1996-01-18 01:00:00","1 BvR 2116/94","Nichtannahme einer Verfassungsbeschwerde gegen rechtskraeftiges Raeumungsurteil - keine Hemmung der Rechtskraft einer fachgerichtlichen Endentscheidung durch Einlegung der Verfassungsbeschwerde
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1398,1
"4","19960131_2bvl003993.txt",1996,"1996-01-31 01:00:00","2 BvL 39/93","Zur Vereinbarkeit der Regelung ueber die Gewaehrung eines erhoehten Auslandszuschlags an Soldaten in integrierten militaerischen Staeben mit Art. 3 Abs. 1 GG (§ 55 Abs. 5 Satz 6 BBesG)
",0,NA,NA,0,0,0,0,0,1,0,0,0,1,0,5962,0
"5","19960312_1bvr060990.txt",1996,"1996-03-12 01:00:00","1 BvR 609/90","Verfassungsbeschwerden betreffend die rentenrechtliche Bewertung von Kindererziehungszeiten erfolgreich
",0,NA,NA,0,0,1,0,0,0,1,0,0,0,0,9233,1
"6","19960418_1bvr066194.txt",1996,"1996-04-18 02:00:00","1 BvR 661/94","Private Programmanbieter nach Bayerischem Medienrecht sind Traeger des Grundrechts der Rundfunkfreiheit hier: Erfolgreiche Verfassungsbeschwerde von ""extra radio"" gegen Entscheidung des Bayerischen VerfassungsgerichtshofsSiehe auchPressemitteilung Nr. 24/1998 vom 9. Maerz 1998
",1,"9. Maerz 1998","24/1998 ",0,0,0,0,0,0,1,0,0,0,0,495,0
"7","19960418_1bvr145290.txt",1996,"1996-04-18 02:00:00","1 BvR 1452/90","Der Restitutionsausschluss fuer die in den Jahren 1945 bis 1949 in der sowjetischen Besatzungszone durchgefuehrten Enteignungen ist von Verfassungs wegen nicht zu beanstanden
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,13422,0
"8","19960424_1bvr071286.txt",1996,"1996-04-24 02:00:00","1 BvR 712/86","Das Gesetz ueber befristete Arbeitsvertraege mit wissenschaftlichem Personal an Hochschulen und Forschungseinrichtungen ist mit Art. 9 Abs. 3 GG vereinbar
",0,NA,NA,1,0,0,0,0,0,1,0,0,0,0,9686,1
"9","19960514_2bvr150793.txt",1996,"1996-05-14 02:00:00","2 BvR 1507/93","Erfolgreiche Verfassungsbeschwerden betreffend Regelungen ueber Asylgewaehrung und -verfahren bei Asylbewerbern aus sicheren Herkunftsstaaten sowie die gesetzliche Bestimmung Ghanas zu einem sicheren Herkunftsstaat
",0,NA,NA,1,1,0,0,0,0,1,0,0,1,1,17755,1
"10","19960514_2bvr151693.txt",1996,"1996-05-14 02:00:00","2 BvR 1516/93","Erfolgreiche Verfassungsbeschwerde betreffend Regelungen ueber die Aussetzung des Vollzuges aufenthaltsbeendender Massnahmen bei offensichtlich unbegruendeten Asylantraegen
",0,NA,NA,1,1,0,0,0,0,1,0,0,1,1,26643,1
"11","19960514_2bvr193893.txt",1996,"1996-05-14 02:00:00","2 BvR 1938/93","Erfolgreiche Verfassungsbeschwerden betreffend Ausschluss der Berufung auf das Grundrecht des Art. 16a Abs. 1 GG bei Einreise aus einem sicheren Drittstaat und die Regelung ueber den sofortigen Vollzug aufenthaltsbeendender Massnahmen sowie die gesetzliche Bestimmung oesterreichs zu einem sicheren Drittstaat
",0,NA,NA,0,1,0,0,0,0,1,0,0,1,1,23682,1
"12","19960521_1bvr140895.txt",1996,"1996-05-21 02:00:00","1 BvR 1408/95","Erfolgloser Antrag auf Erlass einer einstweiligen Anordnung von Betroffenen der sogenannten demokratischen Bodenreform
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,6178,1
"13","19960521_2bve000195.txt",1996,"1996-05-21 02:00:00","2 BvE 1/95","ueberpruefung von Bundestagsabgeordneten auf eine Taetigkeit fuer den Staatsicherheitsdienst der ehemaligen DDR
",0,NA,NA,0,0,0,0,0,0,0,1,0,1,0,6682,1
"14","19960522_1bvr074488.txt",1996,"1996-05-22 02:00:00","1 BvR 744/88","Zur Vereinbarkeit von Werbeverboten mit der Berufsfreiheit der Apotheker
",0,NA,NA,0,0,1,0,0,0,1,0,0,0,0,9903,1
"15","19960619_1bvr222694.txt",1996,"1996-06-19 02:00:00","1 BvR 2226/94","Einschraenkung der Befugnis des BND zur Verwendung (G10 Art 1 § 3 Abs 3 S 1) und Weitergabe (G10 Art 1 § 3 Abs 5 S 1) von Daten, die bei der ueberwachung des Fernmeldeverkehrs aufgrund sog verdachtsloser Rasterfahndung erlangt werden
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,193,1
"16","19960717_2bvf000293.txt",1996,"1996-07-17 02:00:00","2 BvF 2/93","Verfassungsmaessigkeit eines Investitionsmassnahmengesetzes zum Bau eines Abschnitts der Eisenbahnstrecke Berlin-Oebisfelde
",0,NA,NA,0,0,0,0,1,0,0,0,0,1,0,9002,1
"17","19960717_2bvr003894.txt",1996,"1996-07-17 02:00:00","2 BvR 38/94","Erfolglose Verfassungsbeschwerde gegen das Gesetz ueber den Bau der ""Suedumfahrung Stendal"" der Eisenbahnstrecke Berlin-Oebisfelde
",0,NA,NA,0,0,0,0,0,0,1,0,0,1,0,271,1
"18","19961008_1bvl001591.txt",1996,"1996-10-08 02:00:00","1 BvL 15/91","Zur Mitwirkung der Betriebsvertretungen der Zivilbeschaeftigten bei den in Deutschland stationierten NATO-Truppen an Personalentscheidungen
",0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,2758,1
"19","19961008_1bvr087592.txt",1996,"1996-10-08 02:00:00","1 BvR 875/92","Verfassungsbeschwerde betreffend die Veraeusserung eines Grundstuecks zu dem Zweck, die Genehmigung zur Ausreise aus der ehemaligen DDR zu erhalten
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,5376,1
"20","19961008_1bvr118390.txt",1996,"1996-10-08 02:00:00","1 BvR 1183/90","Werkszeitungen geniessen den Schutz der Pressefreiheit
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,3475,1
"21","19961015_1bvl004492.txt",1996,"1996-10-15 02:00:00","1 BvL 44/92","Die in Art. 4 Abs. 2 des Wohnungsbindungsaenderungsgesetzes angeordnete Rueckwirkung verstoesst bei verfassungskonformer Auslegung nicht gegen Art. 14 Abs. 1 GG
",0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,10505,1
"22","19961024_2bvr185194.txt",1996,"1996-10-24 02:00:00","2 BvR 1851/94","Das Rueckwirkungsverbot des Art. 103 Abs. 2 GG ist absolut und erfuellt seine rechtsstaatliche und grundrechtliche Gewaehrleistungsfunktion durch eine strikte Formalisierung
",0,NA,NA,0,0,0,0,0,0,1,0,0,1,0,16927,1
"23","19961112_1bvl000488.txt",1996,"1996-11-12 01:00:00","1 BvL 4/88","Der Ausschluss von Rentenleistungen westdeutscher Versicherungstraeger fuer Berechtigte mit gewoehnlichem Aufenthalt in der DDR war mit dem Grundgesetz vereinbar
",0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,6225,0
"24","19961218_1bvr074893.txt",1996,"1996-12-18 01:00:00","1 BvR 748/93","Erfolglose Verfassungsbeschwerden betreffend Rechtsstreitigkeiten um die Zulassung des Deutschen Sportfernsehens
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,3275,0
"25","19970122_2bvr191591.txt",1997,"1997-01-22 01:00:00","2 BvR 1915/91","Verfassungsbeschwerde betreffend die Verpflichtung zu Warnungen vor Gesundheitsgefahren des Rauchens auf Packungen von Tabakerzeugnissen erfolglos
",0,NA,NA,0,0,0,0,0,0,1,0,0,1,1,5267,0
"26","19970226_1bvr186494.txt",1997,"1997-02-26 01:00:00","1 BvR 1864/94","Verfassungsbeschwerden betreffend die Zuordnung von Hochschullehrern der ehemaligen DDR teilweise erfolgreich
",0,NA,NA,0,0,1,0,0,0,1,0,0,0,0,9642,1
"27","19970226_1bvr217296.txt",1997,"1997-02-26 01:00:00","1 BvR 2172/96","Verfassungsbeschwerde betreffend die Verpflichtung privater Rundfunkveranstalter in Baden-Wuerttemberg, Sendezeitmitschnitte an die Landesmedienanstalt herauszugeben
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,7529,1
"28","19970311_2bvf000295.txt",1997,"1997-03-11 01:00:00","2 BvF 2/95","Einigungsvertrag betreffend die Rueckerstattung von in privatrechtlicher Rechtsform gefuehrten Unternehmen und Unternehmensbeteiligungen von Koerperschaften des oeffentlichen Rechts mit dem GG vereinbar
",0,NA,NA,0,0,0,0,1,0,0,0,0,1,0,2434,0
"29","19970311_2bvg000395.txt",1997,"1997-03-11 01:00:00","2 BvG 3/95","Kein Anspruch der Laender gegen den Bund auf Ausstattung mit bestimmten Vermoegensgegenstaenden
",0,NA,NA,0,0,0,0,0,0,0,0,1,1,0,6227,0
"30","19970408_1bvr004894.txt",1997,"1997-04-08 02:00:00","1 BvR 48/94","Verfassungsbeschwerde zur ueberleitung von Altschulden der Landwirtschaftlichen Produktionsgenossenschaften der DDR in die Marktwirtschaft erfolglos
",0,NA,NA,0,1,0,0,0,0,1,0,0,0,1,18235,0
"31","19970410_2bvl004592.txt",1997,"1997-04-10 02:00:00","2 BvL 45/92","Verfassungsmaessigkeit der asylrechtlichen Bestimmungen ueber die raeumliche Beschraenkung der Aufenthaltsgestattung fuer Asylbewerber und ihre Strafbewehrung fuer Faelle wiederholter Zuwiderhandlung
",0,NA,NA,0,0,0,1,0,1,0,0,0,1,0,6018,0
"32","19970410_2bvl007792.txt",1997,"1997-04-10 02:00:00","2 BvL 77/92","Zur Verfassungsmaessigkeit der Aufhebung von Arbeitnehmer- und Weihnachtsfreibetrag
",0,NA,NA,0,0,0,0,0,1,0,0,0,1,0,3206,0
"33","19970430_2bvr081790.txt",1997,"1997-04-30 02:00:00","2 BvR 817/90","Verfassungsbeschwerden betreffend die sog. prozessuale ueberholung bei vollzogenen richterlichen Durchsuchungsanordnungen teilweise erfolgreich
",0,NA,NA,0,0,0,0,0,0,1,0,0,1,0,6048,0
"34","19970506_1bvr040990.txt",1997,"1997-05-06 02:00:00","1 BvR 409/90","Verfassungsbeschwerde betreffend die Auskunftspflicht der Mutter ueber die Identitaet des leiblichen Vaters gegenueber dem volljaehrigen nichtehelichen Kind erfolgreich
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,3394,0
"35","19970507_1bvr180592.txt",1997,"1997-05-07 02:00:00","1 BvR 1805/92","Keine Verletzung von Grundrechten durch die Ablehnung eines Anspruchs auf Widerruf eines Werturteils
",0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,469,0
"36","19970520_2bvh000195.txt",1997,"1997-05-20 02:00:00","2 BvH 1/95","Antrag auf Erstattung notwendiger Auslagen fuer das Landesorganstreitverfahren erfolglos
",0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,488,1
